binomial;country;continent;genus;family;snake_sub_family;poisonous
Bothrops atrox;unknown;unknown;Bothrops;Viperidae;Bothrops atrox;peconhento
Bothrops atrox;Peru;South America;Bothrops;Viperidae;Bothrops atrox;peconhento
Bothrops atrox;French Guiana;unknown;Bothrops;Viperidae;Bothrops atrox;peconhento
Bothrops atrox;Ecuador;South America;Bothrops;Viperidae;Bothrops atrox;peconhento
Bothrops atrox;Guyana;South America;Bothrops;Viperidae;Bothrops atrox;peconhento
Bothrops atrox;Bolivia;South America;Bothrops;Viperidae;Bothrops atrox;peconhento
Bothrops atrox;Venezuela;South America;Bothrops;Viperidae;Bothrops atrox;peconhento
Bothrops atrox;Suriname;South America;Bothrops;Viperidae;Bothrops atrox;peconhento
Bungarus multicinctus;Taiwan;Asia;Bungarus;Elapidae;Bungarus multicinctus;peconhento
Bungarus multicinctus;China;Asia;Bungarus;Elapidae;Bungarus multicinctus;peconhento
Bungarus multicinctus;Hong Kong S.A.R.;Asia;Bungarus;Elapidae;Bungarus multicinctus;peconhento
Bungarus multicinctus;unknown;unknown;Bungarus;Elapidae;Bungarus multicinctus;peconhento
Bungarus multicinctus;Vietnam;Asia;Bungarus;Elapidae;Bungarus multicinctus;peconhento
Bungarus multicinctus;Hong Kong;Asia;Bungarus;Elapidae;Bungarus multicinctus;peconhento
Carphophis amoenus;United States of America;North America;Carphophis;Colubridae;Carphophis amoenus;nao peconhento
Carphophis amoenus;unknown;unknown;Carphophis;Colubridae;Carphophis amoenus;nao peconhento
Carphophis vermis;United States of America;North America;Carphophis;Colubridae;Carphophis vermis;nao peconhento
Carphophis vermis;unknown;unknown;Carphophis;Colubridae;Carphophis vermis;nao peconhento
Causus rhombeatus;South Africa;Africa;Causus;Viperidae;Causus rhombeatus;peconhento
Causus rhombeatus;unknown;unknown;Causus;Viperidae;Causus rhombeatus;peconhento
Causus rhombeatus;Ethiopia;Africa;Causus;Viperidae;Causus rhombeatus;peconhento
Causus rhombeatus;Zambia;Africa;Causus;Viperidae;Causus rhombeatus;peconhento
Causus rhombeatus;Zimbabwe;Africa;Causus;Viperidae;Causus rhombeatus;peconhento
Causus rhombeatus;Democratic Republic of the Congo;Africa;Causus;Viperidae;Causus rhombeatus;peconhento
Causus rhombeatus;Botswana;Africa;Causus;Viperidae;Causus rhombeatus;peconhento
Causus rhombeatus;Kenya;Africa;Causus;Viperidae;Causus rhombeatus;peconhento
Cemophora coccinea;United States of America;North America;Cemophora;Colubridae;Cemophora coccinea;nao peconhento
Cemophora coccinea;unknown;unknown;Cemophora;Colubridae;Cemophora coccinea;nao peconhento
Charina bottae;United States of America;North America;Charina;Boidae;Charina bottae;nao peconhento
Charina bottae;unknown;unknown;Charina;Boidae;Charina bottae;nao peconhento
Charina bottae;Canada;North America;Charina;Boidae;Charina bottae;nao peconhento
Chrysopelea ornata;unknown;unknown;Chrysopelea;Colubridae;Chrysopelea ornata;nao peconhento
Chrysopelea ornata;Thailand;Asia;Chrysopelea;Colubridae;Chrysopelea ornata;nao peconhento
Chrysopelea ornata;China;Asia;Chrysopelea;Colubridae;Chrysopelea ornata;nao peconhento
Chrysopelea ornata;Cambodia;Asia;Chrysopelea;Colubridae;Chrysopelea ornata;nao peconhento
Chrysopelea ornata;India;Asia;Chrysopelea;Colubridae;Chrysopelea ornata;nao peconhento
Chrysopelea ornata;Vietnam;Asia;Chrysopelea;Colubridae;Chrysopelea ornata;nao peconhento
Chrysopelea ornata;Malaysia;Asia;Chrysopelea;Colubridae;Chrysopelea ornata;nao peconhento
Chrysopelea ornata;Laos;Asia;Chrysopelea;Colubridae;Chrysopelea ornata;nao peconhento
Chrysopelea ornata;Burma;Asia;Chrysopelea;Colubridae;Chrysopelea ornata;nao peconhento
Chrysopelea ornata;Sri Lanka;Asia;Chrysopelea;Colubridae;Chrysopelea ornata;nao peconhento
Clonophis kirtlandii;United States of America;North America;Clonophis;Colubridae;Clonophis kirtlandii;nao peconhento
Clonophis kirtlandii;unknown;unknown;Clonophis;Colubridae;Clonophis kirtlandii;nao peconhento
Coluber constrictor;United States of America;North America;Coluber;Colubridae;Coluber constrictor;nao peconhento
Coluber constrictor;unknown;unknown;Coluber;Colubridae;Coluber constrictor;nao peconhento
Coluber constrictor;Canada;North America;Coluber;Colubridae;Coluber constrictor;nao peconhento
Contia tenuis;United States of America;North America;Contia;Colubridae;Contia tenuis;nao peconhento
Contia tenuis;unknown;unknown;Contia;Colubridae;Contia tenuis;nao peconhento
Contia tenuis;Canada;North America;Contia;Colubridae;Contia tenuis;nao peconhento
Corallus caninus;unknown;unknown;Corallus;Boidae;Corallus caninus;nao peconhento
Corallus caninus;United States of America;North America;Corallus;Boidae;Corallus caninus;nao peconhento
Corallus caninus;United Kingdom;Europe;Corallus;Boidae;Corallus caninus;nao peconhento
Corallus caninus;Peru;South America;Corallus;Boidae;Corallus caninus;nao peconhento
Corallus caninus;Canada;North America;Corallus;Boidae;Corallus caninus;nao peconhento
Corallus caninus;Germany;Europe;Corallus;Boidae;Corallus caninus;nao peconhento
Corallus caninus;Colombia;South America;Corallus;Boidae;Corallus caninus;nao peconhento
Corallus caninus;Brazil;South America;Corallus;Boidae;Corallus caninus;nao peconhento
Corallus caninus;Guyana;South America;Corallus;Boidae;Corallus caninus;nao peconhento
Corallus caninus;Netherlands;Europe;Corallus;Boidae;Corallus caninus;nao peconhento
Corallus caninus;Australia;Oceania;Corallus;Boidae;Corallus caninus;nao peconhento
Corallus caninus;France;Europe;Corallus;Boidae;Corallus caninus;nao peconhento
Corallus caninus;French Guiana;unknown;Corallus;Boidae;Corallus caninus;nao peconhento
Corallus caninus;Suriname;South America;Corallus;Boidae;Corallus caninus;nao peconhento
Corallus caninus;Singapore;Asia;Corallus;Boidae;Corallus caninus;nao peconhento
Corallus hortulanus;Ecuador;South America;Corallus;Boidae;Corallus hortulanus;nao peconhento
Corallus hortulanus;Peru;South America;Corallus;Boidae;Corallus hortulanus;nao peconhento
Corallus hortulanus;Colombia;South America;Corallus;Boidae;Corallus hortulanus;nao peconhento
Corallus hortulanus;Bolivia;South America;Corallus;Boidae;Corallus hortulanus;nao peconhento
Corallus hortulanus;unknown;unknown;Corallus;Boidae;Corallus hortulanus;nao peconhento
Corallus hortulanus;Brazil;South America;Corallus;Boidae;Corallus hortulanus;nao peconhento
Corallus hortulanus;United States of America;North America;Corallus;Boidae;Corallus hortulanus;nao peconhento
Corallus hortulanus;French Guiana;unknown;Corallus;Boidae;Corallus hortulanus;nao peconhento
Corallus hortulanus;Guyana;South America;Corallus;Boidae;Corallus hortulanus;nao peconhento
Corallus hortulanus;Trinidad and Tobago;South America;Corallus;Boidae;Corallus hortulanus;nao peconhento
Corallus hortulanus;Hungary;Europe;Corallus;Boidae;Corallus hortulanus;nao peconhento
Corallus hortulanus;Suriname;South America;Corallus;Boidae;Corallus hortulanus;nao peconhento
Corallus hortulanus;Costa Rica;North America;Corallus;Boidae;Corallus hortulanus;nao peconhento
Coronella austriaca;Spain;Europe;Coronella;Colubridae;Coronella austriaca;nao peconhento
Coronella austriaca;Russia;Europe;Coronella;Colubridae;Coronella austriaca;nao peconhento
Coronella austriaca;France;Europe;Coronella;Colubridae;Coronella austriaca;nao peconhento
Coronella austriaca;Austria;Europe;Coronella;Colubridae;Coronella austriaca;nao peconhento
Coronella austriaca;Italy;Europe;Coronella;Colubridae;Coronella austriaca;nao peconhento
Coronella austriaca;Germany;Europe;Coronella;Colubridae;Coronella austriaca;nao peconhento
Coronella austriaca;unknown;unknown;Coronella;Colubridae;Coronella austriaca;nao peconhento
Coronella austriaca;Kosovo;Europe;Coronella;Colubridae;Coronella austriaca;nao peconhento
Coronella austriaca;Portugal;Europe;Coronella;Colubridae;Coronella austriaca;nao peconhento
Coronella austriaca;Bulgaria;Europe;Coronella;Colubridae;Coronella austriaca;nao peconhento
Coronella austriaca;Slovakia;Europe;Coronella;Colubridae;Coronella austriaca;nao peconhento
Coronella austriaca;Poland;Europe;Coronella;Colubridae;Coronella austriaca;nao peconhento
Coronella austriaca;Hungary;Europe;Coronella;Colubridae;Coronella austriaca;nao peconhento
Coronella austriaca;Sweden;Europe;Coronella;Colubridae;Coronella austriaca;nao peconhento
Coronella austriaca;Republic of Serbia;Europe;Coronella;Colubridae;Coronella austriaca;nao peconhento
Coronella austriaca;Czech Republic;Europe;Coronella;Colubridae;Coronella austriaca;nao peconhento
Coronella austriaca;Switzerland;Europe;Coronella;Colubridae;Coronella austriaca;nao peconhento
Coronella austriaca;Slovenia;Europe;Coronella;Colubridae;Coronella austriaca;nao peconhento
Coronella austriaca;Luxembourg;Europe;Coronella;Colubridae;Coronella austriaca;nao peconhento
Coronella austriaca;Netherlands;Europe;Coronella;Colubridae;Coronella austriaca;nao peconhento
Coronella austriaca;Lithuania;Europe;Coronella;Colubridae;Coronella austriaca;nao peconhento
Coronella austriaca;Romania;Europe;Coronella;Colubridae;Coronella austriaca;nao peconhento
Coronella austriaca;Finland;Europe;Coronella;Colubridae;Coronella austriaca;nao peconhento
Coronella austriaca;Turkey;Europe;Coronella;Colubridae;Coronella austriaca;nao peconhento
Coronella austriaca;Armenia;Europe;Coronella;Colubridae;Coronella austriaca;nao peconhento
Coronella austriaca;Macedonia;Europe;Coronella;Colubridae;Coronella austriaca;nao peconhento
Coronella austriaca;United Kingdom;Europe;Coronella;Colubridae;Coronella austriaca;nao peconhento
Coronella austriaca;Croatia;Europe;Coronella;Colubridae;Coronella austriaca;nao peconhento
Coronella austriaca;Ukraine;Europe;Coronella;Colubridae;Coronella austriaca;nao peconhento
Coronella austriaca;Belgium;Europe;Coronella;Colubridae;Coronella austriaca;nao peconhento
Coronella austriaca;Montenegro;Europe;Coronella;Colubridae;Coronella austriaca;nao peconhento
Coronella girondica;Spain;Europe;Coronella;Colubridae;Coronella girondica;nao peconhento
Coronella girondica;Italy;Europe;Coronella;Colubridae;Coronella girondica;nao peconhento
Coronella girondica;unknown;unknown;Coronella;Colubridae;Coronella girondica;nao peconhento
Coronella girondica;Portugal;Europe;Coronella;Colubridae;Coronella girondica;nao peconhento
Coronella girondica;France;Europe;Coronella;Colubridae;Coronella girondica;nao peconhento
Coronella girondica;Algeria;Africa;Coronella;Colubridae;Coronella girondica;nao peconhento
Coronella girondica;Morocco;Africa;Coronella;Colubridae;Coronella girondica;nao peconhento
Crotalus adamanteus;United States of America;North America;Crotalus;Viperidae;Crotalus adamanteus;peconhento
Crotalus adamanteus;unknown;unknown;Crotalus;Viperidae;Crotalus adamanteus;peconhento
Crotalus atrox;Mexico;North America;Crotalus;Viperidae;Crotalus atrox;peconhento
Crotalus atrox;United States of America;North America;Crotalus;Viperidae;Crotalus atrox;peconhento
Crotalus atrox;unknown;unknown;Crotalus;Viperidae;Crotalus atrox;peconhento
Crotalus atrox;Mexico;South America;Crotalus;Viperidae;Crotalus atrox;peconhento
Crotalus atrox;Netherlands;Europe;Crotalus;Viperidae;Crotalus atrox;peconhento
Crotalus cerastes;United States of America;North America;Crotalus;Viperidae;Crotalus cerastes;peconhento
Crotalus cerastes;Mexico;North America;Crotalus;Viperidae;Crotalus cerastes;peconhento
Crotalus cerastes;Mexico;South America;Crotalus;Viperidae;Crotalus cerastes;peconhento
Crotalus cerastes;unknown;unknown;Crotalus;Viperidae;Crotalus cerastes;peconhento
Crotalus cerberus;United States of America;North America;Crotalus;Viperidae;Crotalus cerberus;peconhento
Crotalus cerberus;unknown;unknown;Crotalus;Viperidae;Crotalus cerberus;peconhento
Crotalus horridus;United States of America;North America;Crotalus;Viperidae;Crotalus horridus;peconhento
Crotalus horridus;unknown;unknown;Crotalus;Viperidae;Crotalus horridus;peconhento
Crotalus horridus;Germany;Europe;Crotalus;Viperidae;Crotalus horridus;peconhento
Crotalus lepidus;unknown;unknown;Crotalus;Viperidae;Crotalus lepidus;peconhento
Crotalus lepidus;Mexico;North America;Crotalus;Viperidae;Crotalus lepidus;peconhento
Crotalus lepidus;United States of America;North America;Crotalus;Viperidae;Crotalus lepidus;peconhento
Crotalus lepidus;Mexico;South America;Crotalus;Viperidae;Crotalus lepidus;peconhento
Crotalus molossus;unknown;unknown;Crotalus;Viperidae;Crotalus molossus;peconhento
Crotalus molossus;United States of America;North America;Crotalus;Viperidae;Crotalus molossus;peconhento
Crotalus molossus;Mexico;North America;Crotalus;Viperidae;Crotalus molossus;peconhento
Crotalus molossus;Mexico;South America;Crotalus;Viperidae;Crotalus molossus;peconhento
Crotalus molossus;Spain;Europe;Crotalus;Viperidae;Crotalus molossus;peconhento
Crotalus oreganus;United States of America;North America;Crotalus;Viperidae;Crotalus oreganus;peconhento
Crotalus oreganus;unknown;unknown;Crotalus;Viperidae;Crotalus oreganus;peconhento
Crotalus oreganus;Mexico;North America;Crotalus;Viperidae;Crotalus oreganus;peconhento
Crotalus oreganus;Canada;North America;Crotalus;Viperidae;Crotalus oreganus;peconhento
Crotalus ornatus;United States of America;North America;Crotalus;Viperidae;Crotalus ornatus;peconhento
Crotalus ornatus;unknown;unknown;Crotalus;Viperidae;Crotalus ornatus;peconhento
Crotalus ornatus;Mexico;South America;Crotalus;Viperidae;Crotalus ornatus;peconhento
Crotalus ornatus;Mexico;North America;Crotalus;Viperidae;Crotalus ornatus;peconhento
Crotalus ruber;United States of America;North America;Crotalus;Viperidae;Crotalus ruber;peconhento
Crotalus ruber;unknown;unknown;Crotalus;Viperidae;Crotalus ruber;peconhento
Crotalus ruber;Mexico;North America;Crotalus;Viperidae;Crotalus ruber;peconhento
Crotalus ruber;Mexico;South America;Crotalus;Viperidae;Crotalus ruber;peconhento
Crotalus scutulatus;United States of America;North America;Crotalus;Viperidae;Crotalus scutulatus;peconhento
Crotalus scutulatus;Mexico;North America;Crotalus;Viperidae;Crotalus scutulatus;peconhento
Crotalus scutulatus;unknown;unknown;Crotalus;Viperidae;Crotalus scutulatus;peconhento
Crotalus scutulatus;Mexico;South America;Crotalus;Viperidae;Crotalus scutulatus;peconhento
Crotalus stephensi;United States of America;North America;Crotalus;Viperidae;Crotalus stephensi;peconhento
Crotalus stephensi;unknown;unknown;Crotalus;Viperidae;Crotalus stephensi;peconhento
Crotalus tigris;United States of America;North America;Crotalus;Viperidae;Crotalus tigris;peconhento
Crotalus tigris;unknown;unknown;Crotalus;Viperidae;Crotalus tigris;peconhento
Crotalus tigris;Mexico;North America;Crotalus;Viperidae;Crotalus tigris;peconhento
Crotalus tigris;Mexico;South America;Crotalus;Viperidae;Crotalus tigris;peconhento
Crotalus triseriatus;Mexico;North America;Crotalus;Viperidae;Crotalus triseriatus;peconhento
Crotalus triseriatus;Mexico;South America;Crotalus;Viperidae;Crotalus triseriatus;peconhento
Crotalus triseriatus;unknown;unknown;Crotalus;Viperidae;Crotalus triseriatus;peconhento
Crotalus viridis;United States of America;North America;Crotalus;Viperidae;Crotalus viridis;peconhento
Crotalus viridis;unknown;unknown;Crotalus;Viperidae;Crotalus viridis;peconhento
Crotalus viridis;Canada;North America;Crotalus;Viperidae;Crotalus viridis;peconhento
Crotalus viridis;Mexico;North America;Crotalus;Viperidae;Crotalus viridis;peconhento
Crotaphopeltis hotamboeia;South Africa;Africa;Crotaphopeltis;Colubridae;Crotaphopeltis hotamboeia;nao peconhento
Crotaphopeltis hotamboeia;Kenya;Africa;Crotaphopeltis;Colubridae;Crotaphopeltis hotamboeia;nao peconhento
